order_id,customer_id,order_date,customer_first_name,customer_last_name,city,customer_segment,sales_channel,product,quantity,unit_price,discount,shipping_fee,tax_rate,cost_per_unit,campaign,payment_method,order_status,sales_rep,total_amount,gross_amount
ORD-0005924,C10964,2025-09-25 00:00:00,Priya,Khumalo,Gqeberha,Small Business,Online,Printer,1.0,4454.77,0.08,219.82,0.15,3356.95,None,Card,Returned,,4932.96,
ORD-0003484,C12447,2024-05-18 00:00:00,Zanele,Khumalo,Durban,Corporate,Online,Router,5.0,1111.86,0.1,126.38,0.15,851.17,Black Friday,EFT,Cancelled,,5880.25,
ORD-0003689,C12010,2024-06-17 00:00:00,Lerato,Patel,Durban,Corporate,Store,Printer,1.0,6287.17,0.05,100.2,0.15,4330.75,None,EFT,Completed,Rep C,6968.94,
ORD-0004655,C10965,2025-01-22 00:00:00,Jason,Williams,Pretoria,Consumer,Online,Webcam,2.0,2379.88,0.08,85.36,0.15,1574.38,Black Friday,Card,Completed,,5121.2,
ORD-0003251,C11622,2025-01-22 00:00:00,Megan,Dlamini,Durban,Consumer,Marketplace,Headset,4.0,1021.86,0.08,9.97,0.15,725.55,None,Bank Transfer,Returned,,4334.5,
ORD-0005914,C11046,2024-04-30 00:00:00,Priya,Khumalo,Benoni,Consumer,Online,Monitor,2.0,8449.65,0.1,170.63,0.0,4970.87,None,Card, returned ,,15380.0,
ORD-0001281,C11918,2024-12-05 00:00:00,Fatima,Molefe,Durban,Small Business,Phone,Keyboard,7.0,1174.39,0.03,35.61,0.15,997.87,New Customer,Card,Cancelled,,9205.8,
ORD-0002430,C12053,2025-05-25 00:00:00,Priya,Smith,Pretoria,Consumer,Online,SSD,1.0,2705.83,0.2,80.98,0.15,1930.91,Payday Promo,Cash,Completed,,2570.34,
ORD-0004387,C12752,2024-10-09 00:00:00,Siyanda,Nkosi,Cape Town,Consumer,Online,Mouse,2.0,253.08,0.05,92.65,0.0,192.73,Payday Promo,Mobile Wallet,Completed,,573.49,
ORD-0000749,C12099,2024-08-15 00:00:00,Sipho,Naidoo,Benoni,Consumer,Store,Webcam,1.0,1445.44,0.1,85.82,0.15,988.56,Payday Promo,Cash,Completed,Rep B,1581.85,
ORD-0004589,C10973,2024-11-08 00:00:00,Megan,Dlamini,Benoni,Consumer,Marketplace,Monitor,1.0,3964.78,0.15,90.53,0.0,3254.9,None,Card,Pending,,3460.59,
ORD-0004698,C11995,2024-01-28 00:00:00,Mpho,Pillay,Nelspruit,Consumer,Online,SSD,3.0,1619.91,0.03,113.03,0.15,1119.19,None,Card,Returned,,5534.05,
ORD-0001262,C11327,2025-08-21 00:00:00,Andile,Molefe,Johannesburg,Small Business,Online,Laptop,1.0,18849.09,0.05,50.78,0.15,12338.63,None,Bank Transfer,Completed,,20643.41,
ORD-0003377,C12640,2024-09-20 00:00:00,Fatima,Botha,Benoni,Small Business,Online,SSD,1.0,1004.25,0.0,101.41,0.15,752.22,None,EFT,Completed,,1256.3,
ORD-0005614,C12178,2024-04-10 00:00:00,Mpho,Naidoo,Johannesburg,Consumer,Online,Webcam,3.0,538.41,0.03,129.17,0.15,313.17,None,Mobile Wallet,Cancelled,,1930.95,
ORD-0003016,C10255,2025-06-17 00:00:00,Mpho,Nkosi,Cape Town,Consumer,Online,Mouse,1.0,421.16,0.1,45.54,0.15,339.06,None,Card,Cancelled,,481.44,
ORD-0004958,C11535,2025-03-31 00:00:00,Thabo,Pillay,Nelspruit,Small Business,Online,Headset,2.0,1373.5,0.1,201.98,0.15,990.5,None,Card,Completed,,3045.12,
ORD-0005895,C12340,2025-06-19 00:00:00,Fatima,Botha,Johannesburg,Small Business,Online,Mouse,2.0,464.9,0.0,104.03,0.15,285.58,None,Cash,Completed,,1173.3,
ORD-0003967,C10560,2025-04-03 00:00:00,Mpho,Khumalo,Polokwane,Corporate,Online,Docking Station,1.0,2284.56,0.1,67.53,0.15,1328.31,None,Card, cancelled ,,2432.05,
ORD-0005174,C10132,2024-04-29 00:00:00,Ryan,Williams,Durban,Consumer,Marketplace,Laptop,3.0,7501.3,0.05,105.48,0.15,5842.06,New Customer,EFT,Returned,,24690.98,
ORD-0004741,C10357,2024-03-23 00:00:00,Fatima,Botha,Cape Town,Corporate,Store,Laptop,2.0,21579.64,0.1,164.97,0.15,17858.58,None,EFT,Completed,Rep A,44834.83,
ORD-0001007,C10552,2024-03-06 00:00:00,Thabo,Nkosi,Pretoria,Small Business,Store,Monitor,,5177.81,0.03,59.21,0.15,4172.29,None,Bank Transfer,Completed,Rep E,28938.43,
ORD-0001025,C11977,2024-10-26 00:00:00,Nomsa,Molefe,Gqeberha,Consumer,Store,Webcam,1.0,1473.39,0.0,90.69,0.15,975.57,Black Friday,EFT,Returned,Rep C,1785.08,
ORD-0002984,C11983,2025-03-04 00:00:00,Naledi,Smith,Durban,Consumer,Marketplace,Mouse,1.0,958.59,0.08,173.49,0.15,615.79,None,EFT,Completed,,1187.67,
ORD-0002405,C12865,2025-12-15 00:00:00,Zanele,Botha,Pretoria,Small business,Store,Laptop,2.0,21084.32,0.08,83.66,0.0,18126.3,Black Friday,Mobile Wallet,Completed,Rep E,38878.8,
ORD-0003375,C11535,2025-12-22 00:00:00,Sipho,Smith,Johannesburg,Corporate,Phone,Office Chair,4.0,5370.05,0.1,123.64,0.0,4263.06,None,Card,Returned,,19455.81,
ORD-0004832,C12394,2025-02-14 00:00:00,Naledi,Mokoena,Bloemfontein,Small Business,Online,SSD,4.0,3303.02,0.0,125.16,0.15,2098.64,None,Mobile Wallet,Completed,,15319.03,
ORD-0000242,C10552,2024-02-28 00:00:00,Naledi,Naidoo,Pretoria,Corporate,Phone,Keyboard,7.0,787.7,0.15,8.37,0.14,519.28,None,Bank Transfer,Returned,,5351.33,
ORD-0002093,C12000,2024-05-31 00:00:00,Naledi,Smith,Pretoria,Corporate,Online,Headset,2.0,1343.22,0.03,86.49,0.14,863.84,None,EFT,Completed,,3057.15,
ORD-0002495,C12022,2024-09-11 00:00:00,Ryan,Pillay,Durban,Consumer,Online,Docking Station,1.0,1200.68,20%,47.7,0.15,986.11,Payday Promo,Card,Completed,,1152.32,
ORD-0005182,C11855,2025-03-17 00:00:00,Kabelo,Molefe,Gqeberha,Consumer,Store,Tablet,3.0,6052.79,0.0,37.4,0.15,3853.54,None,EFT,Pending,Rep D,20919.54,
ORD-0000969,C11940,2024-01-18 00:00:00,Jason,Williams,Pretoria,Small business,Online,Keyboard,1.0,1702.81,0.15,140.4,0.15,1024.65,None,EFT,Cancelled,,1804.89,
ORD-0002836,C12287,2024-06-19 00:00:00,Lerato,Williams,Johannesburg,Corporate,Online,Router,6.0,2685.19,0.15,33.45,0.15,2218.45,Summer Sale,EFT,Returned,,15782.1,
ORD-0003850,C11808,2024-02-15 00:00:00,Mpho,Smith,Gqeberha,Small Business,Store,Laptop,1.0,11004.39,0.03,171.77,0.15,7623.76,Payday Promo, mobile wallet ,Completed,Rep E,12447.17,
ORD-0002231,C11135,2025-09-18 00:00:00,Ryan,Patel,Johannesburg,Corporate,Phone,Printer,7.0,2294.81,0.05,51.51,0.15,1664.19,None,Card,Completed,,17601.03,
ORD-0001853,C11337,2024-07-02 00:00:00,Jason,Dlamini,Cape Town,Consumer,Marketplace,Laptop,2.0,8137.59,0.05,214.95,0.15,5302.13,,Card,Completed,,17995.59,
ORD-0000554,C11896,2025-02-11 00:00:00,Priya,Patel,Johannesburg,Consumer,Online,SSD,4.0,1312.74,0.05,110.34,0.15,1002.94,None,Mobile Wallet,Completed,,5847.02,
ORD-0005945,C11274,2025-01-22 00:00:00,Chloe,Botha,Polokwane,Consumer,Online,Tablet,3.0,3611.86,0.1,98.88,0.15,2644.52,None,Card,Completed,,11313.7,
ORD-0004944,C11358,2024-04-14 00:00:00,Priya,Smith,Johannesburg,Consumer,Store,Laptop,3.0,20359.86,0.1,27.24,0.15,13634.19,Back to School,EFT,Pending,Rep B,63244.61,
ORD-0002466,C11645,2024-03-25 00:00:00,Priya,Mthembu,Johannesburg,Consumer,Store,Mouse,2.0,1157.03,0.15,103.31,0.0,849.66,New Customer,Card,Completed,Rep B,2070.26,
ORD-0004735,C10784,2025-06-12 00:00:00,Daniel,Pillay,Pretoria,Consumer,Marketplace,Mouse,6.0,892.08,0.15,35.7,0.15,656.31,None,Card,Returned,,5267.78,
ORD-0002577,C12654,2025-03-18 00:00:00,Siyanda,Williams,Benoni,Small Business,Online,Tablet,2.0,3789.66,0.08,165.78,0.0,2734.92,Payday Promo,Card,Completed,,7138.74,
ORD-0005326,C11663,2025-10-05 00:00:00,Kabelo,Molefe,Bloemfontein, consumer ,Online,Mouse,3.0,1017.44,0.0,58.78,0.15,676.58,None,Mobile Wallet,Returned,,3568.95,
ORD-0001833,C11686,2025-02-09 00:00:00,Nomsa,Nkosi,Johannesburg,Consumer,Store,Router,4.0,3455.99,0.1,141.13,0.15,2030.56,None,Bank Transfer,Cancelled,Rep E,14448.92,
ORD-0004120,C10829,2025-10-05 00:00:00,Jason,Pillay,Cape Town,Consumer,Online,Docking Station,1.0,2357.18,0.0,58.34,0.15,1911.18,Payday Promo,Card,Returned,,2769.09,
ORD-0001641,C10530,2024-09-14 00:00:00,Kabelo,Dlamini,Johannesburg,Consumer,Store,Mouse,3.0,1379.06,0.2,48.72,0.0,1031.03,None,Card,Completed,Rep C,3358.47,
ORD-0001775,C11801,2024-01-26 00:00:00,Chloe,Dlamini,Gqeberha,Small Business,Online,Webcam,1.0,730.97,0.05,76.11,0.15,515.71,None,Card,Returned,,874.69,730.97
ORD-0004771,C11854,2025-06-04 00:00:00,Siyanda,Smith,Polokwane,Consumer,Online,Printer,4.0,4379.25,0.15,43.37,0.15,3220.28,Black Friday,EFT,Cancelled,,17166.25,
ORD-0002283,C12190,2025-01-29 00:00:00,Megan,Nkosi,Cape Town,Consumer,Store,Monitor,1.0,5392.27,0.0,211.99,0.15,4555.61,New Customer,Mobile Wallet,Completed,Rep A,6413.1,
ORD-0005787,C11717,2025-03-18 00:00:00,Andile,Mokoena,Cape Town,Corporate,Marketplace,Router,1.0,2231.04,0.0,155.07,0.15,1366.03,New Customer,Card,Completed,,2720.77,
ORD-0001830,C11204,2025-08-04 00:00:00,Megan,Pillay,Johannesburg,Consumer,Marketplace,,4.0,3097.23,0.15,43.93,0.15,2229.77,None,Cash,Returned,,12154.09,
ORD-0001745,C12835,2025-12-01 00:00:00,Nomsa,Patel,Pretoria,Small Business,Store,Keyboard,3.0,1304.12,0.15,0.42,0.15,1040.23,None, card ,Completed,Rep E,3824.75,
ORD-0004112,C11979,2025-06-19 00:00:00,Megan,Naidoo,Pretoria,Consumer,Phone,Mouse,2.0,1197.37,0.08,53.1,0.15,864.98,Summer Sale,EFT,Cancelled,,2586.72,
ORD-0003447,C11307,2025-05-04 00:00:00,Megan,Smith,Johannesburg,Small Business,Marketplace, keyboard ,2.0,R 937.23,0.05,105.06,0.15,704.81,None,Mobile Wallet,Pending,,2152.91,
ORD-0005883,C11321,2024-11-16 00:00:00,Sipho,Naidoo,Polokwane,Consumer,Store,Keyboard,1.0,402.94,0.1,160.69,0.15,295.14,Clearance,Card,Cancelled,Rep D,577.73,
ORD-0005372,C12299,2025-11-26 00:00:00,Fatima,Williams,Pretoria,Consumer,Marketplace,Mouse,1.0,406.14,0.0,94.04,0.15,241.37,New Customer,Bank Transfer,Completed,,561.1,
ORD-0001133,C11482,2024-09-18 00:00:00,Kabelo,Mokoena,Durban,Consumer,Store,Keyboard,6.0,471.96,0.05,77.66,0.15,280.3,None,Card,Completed,Rep E,3171.37,
ORD-0003903,C11824,2024-12-26 00:00:00,Thabo,,Durban,Consumer,Online,Router,2.0,2758.7,0.1,49.32,0.15,2309.27,Payday Promo,Card,Cancelled,,5759.84,
ORD-0000210,C11868,2024-01-03 00:00:00,Fatima,Botha,Pretoria,Consumer,Online,Laptop,1.0,19493.12,0.0,145.58,0.15,13903.49,None,Mobile Wallet,Completed,,22562.66,
ORD-0005076,C12527,2024-09-13 00:00:00,Ryan,Patel,Nelspruit,Consumer,Marketplace,Monitor,1.0,7256.67,0.2,160.7,0.15,5802.45,None,Mobile Wallet,Completed,,6836.85,
ORD-0004439,C12550,2025-04-09 00:00:00,Lerato,Dlamini,Johannesburg,Small Business,Phone,Mouse,6.0,474.64,0.1,14.45,0.15,353.37,None,EFT,Returned,,2961.99,
ORD-0004624,C10106,2024-03-17 00:00:00,Daniel,Khumalo,Gqeberha,Consumer,Online,Mouse,1.0,197.21,0.15,146.29,0.15,115.9,None,Cash, completed ,,339.06,
ORD-0005698,C10280,2025-06-27 00:00:00,Siyanda,Dlamini,Johannesburg,Consumer, phone ,Laptop,3.0,21729.9,0.0,17.76,0.15,12647.45,New Customer,Cash,Cancelled,,74985.93,
ORD-0003365,C11485,2025-12-14 00:00:00,Andile,Nkosi,Pretoria ,Corporate,Store,SSD,2.0,4089.12,0.15,216.19,0.15,2707.73,New Customer,Card,Pending,Rep D,8210.42,
ORD-0002829,C12338,2024-02-05 00:00:00,Jason,Molefe,Johannesburg,Consumer,Online,Keyboard,1.0,2184.84,0.0,87.58,0.15,1426.71,None,Cash,Cancelled,,2600.15,
ORD-0001859,C12732,2025-11-08 00:00:00,Daniel,Williams,Joburg,Small Business,Online,Mouse,6.0,584.46,0.1,30.41,0.15,410.3,None,Card,Pending,,3659.89,
ORD-0004989,C12278,2025-05-11 00:00:00,Thabo,Khumalo,Pretoria,Corporate,Online,Laptop,3.0,16524.08,0.0,9.71,0.15,10176.51,Summer Sale,Card,Completed,,57017.8,
ORD-0000849,C10383,2025-05-23 00:00:00,Megan,Patel,Durban,Consumer,Online,Mouse,2.0,678.3,0.15,182.71,0.14,405.3,Black Friday,EFT,Pending,,1497.25,
ORD-0000107,C11637,2024-08-30 00:00:00,Chloe,Patel,Benoni,Consumer,Store,Mouse,2.0,358.38,0.0,62.72,0.15,272.85,Back to School,Mobile Wallet,Completed,Rep E,886.99,
ORD-0002807,C11917,2025-09-13 00:00:00,Andile,Williams,Benoni,Consumer, online ,Monitor,4.0,5079.69,0.05,38.08,0.15,3090.86,New Customer,Card,Pending,,18034.63,
ORD-0005824,C10518,2024-07-08 00:00:00,Megan,Mokoena,Benoni,Consumer,Phone,Printer,5.0,6431.65,0.05,124.79,0.15,3775.36,Clearance,EFT,Completed,,35140.63,
ORD-0005266,C10718,2025-03-28 00:00:00,Daniel,Patel,Cape Town,Consumer,Phone,Docking Station,3.0,1956.86,0.0,45.58,0.15,1389.6,Payday Promo,EFT,Completed,,6796.73,
ORD-0002970,C10042,2024-04-25 00:00:00,Lerato,Naidoo,Pretoria,Corporate,Online,Keyboard,1.0,1333.83,0.0,61.67,0.15,1074.93,Payday Promo,Card,Pending,,1595.57,1333.83
ORD-0000970,C12429,2025-02-09 00:00:00,Thabo,Williams,Benoni,Small Business,Online,Office Chair,2.0,3061.4,0.1,203.17,0.0,2016.3,New Customer,EFT,Completed,,5713.7,
ORD-0000158,C12130,2024-07-11 00:00:00,Siyanda,Nkosi,Gqeberha,Consumer,Store,Headset,2.0,685.73,0.0,55.55,0.15,566.82,Summer Sale,Mobile Wallet,Completed,Rep D,1632.72,
ORD-0001250,C12612,2025-04-29 00:00:00,Ryan,Pillay,,Corporate,Phone,Laptop,2.0,8210.06,0.05,95.1,0.15,6661.21,Clearance,Card,Completed,,18034.09,
ORD-0004562,C10144,2025-12-10 00:00:00,Daniel,Molefe,Johannesburg,Small Business,Store,Tablet,1.0,9419.29,0.0,66.45,0.0,7904.86,Clearance,EFT,Completed,Rep C,9485.74,
ORD-0004902,C10056,2024-05-29 00:00:00,Priya,Dlamini,Gqeberha,Consumer,Store,Printer,1.0,4372.43,0.2,54.26,0.15,2600.81,Summer Sale,EFT,Completed,Rep E,4076.89,
ORD-0000772,C12562,2024-10-08 00:00:00,Megan,Smith,Pretoria,Small Business,Online,Printer,1.0,5900.21,0.1,150.2,0.15,4869.24,None,EFT,Completed,,6256.92,
ORD-0002960,C10516,2024-11-18 00:00:00,Megan,Mthembu,Polokwane,Consumer,Online,Mouse,5.0,1332.32,0.1,,0.0,938.79,None,EFT,Completed,,6140.69,
ORD-0002817,C10015,2025-01-22 00:00:00,Nomsa,Nkosi,Pretoria,Consumer,Online, docking station ,4.0,4570.85,0.0,97.5,0.0,3818.95,Summer Sale,Bank Transfer,Completed,,18380.9,
ORD-0000384,UNKNOWN-4,2024-01-16 00:00:00,Megan,Pillay,Benoni,Small Business,Online,Router,1.0,701.46,0%,45.08,0.0,598.11,New Customer,Card,Completed,,746.55,
ORD-0003866,C12618,2024-08-13 00:00:00,Mpho,Smith,Johannesburg,Consumer,Marketplace,Docking Station,1.0,3480.68,0.05,107.48,0.15,2043.75,Back to School,Card,Completed,,3910.12,
ORD-0001234,C11212,2024-12-22 00:00:00,Chloe,Mokoena,Benoni,Consumer,Online,Tablet,5.0,10869.28,0.15,91.23,0.15,7605.62,Summer Sale,EFT,Completed,,53214.83,
ORD-0002068,C11669,2024-11-24 00:00:00,Mpho,Naidoo,Cape Town,Consumer,Online,Laptop,3.0,16148.07,0.1,86.18,0.15,9812.17,None,Cash,Returned,,50225.92,48444.21
ORD-0004167,C10391,2025-03-06 00:00:00,Fatima,Pillay,Durban,Consumer,Marketplace,SSD,1.0,1623.79,0.0,149.94,0.15,1029.61,None,Card,Cancelled,,2017.29,
ORD-0004188,C12190,2025-10-29 00:00:00,Jason,Naidoo,Nelspruit,Consumer,Phone,Tablet,5.0,3096.16,0.15,15.74,0.15,2545.59,None,Card,Pending,,15148.19,
ORD-0005167,C10580,2024-03-23 00:00:00,Kabelo,Pillay,Gqeberha,Small Business,Online,SSD,1.0,2198.57,0.15,62.55,0.15,1280.67,New Customer,Cash,Completed,,2211.66,
ORD-0004116,C11389,2025-12-03 00:00:00,Mpho,Khumalo,Nelspruit,Consumer,Marketplace,Headset,1.0,1863.7,0.15,202.61,0.15,1368.03,None,Cash,Returned,,2024.37,
ORD-0003388,C11005,2024-04-29 00:00:00,Megan,Mthembu,Durban,Consumer,Online,Monitor,5.0,4243.35,0.1,14.78,0.15,3089.41,None,Card,Cancelled,,21974.1,
ORD-0005293,C11830,2025-11-27 00:00:00,Siyanda,Smith,Benoni,Consumer,Online,Headset,4.0,1656.12,0.1,6.72,0.0,1342.47,None,Cash,Completed,,5968.75,
ORD-0004629,C10482,2025-10-20 00:00:00,Chloe,Dlamini,Johannesburg,Consumer,Online,Printer,1.0,3873.55,0.0,142.63,0.0,3160.27,None,,Completed,,5412.42,
ORD-0003681,C11203,2024-01-18 00:00:00,Fatima,Pillay,Pretoria,Small Business,Online,Headset,4.0,472.11,0.25,84.42,0.15,397.93,None,Mobile Wallet,Completed,,1713.2,
ORD-0002767,C11456,2024-12-21 00:00:00,Fatima,Nkosi,Gqeberha,Small Business,Store,Mouse,5.0,1159.69,0.08,12.69,0.15,947.44,Back to School,Card,Completed,Rep D,6147.43,
ORD-0003397,C12326,2024-02-10 00:00:00,Priya,Khumalo,Cape Town,Small Business,Online,Laptop,6.0,8607.66,0.2,61.18,0.15,6740.81,None,Card,Completed,,47575.46,
ORD-0004008,C11604,2025-07-13 00:00:00,Kabelo,Mthembu,Benoni,Corporate,Online,Headset,3.0,1965.67,0.15,,0.15,1246.56,None,EFT,Completed,,5780.44,
ORD-0000874,C11706,2025-05-05 00:00:00,Siyanda,Patel,Nelspruit,Consumer,Online,Mouse,3.0,1340.06,0.0,125.35,0.15,1028.18,Summer Sale,Bank Transfer,Completed,,4748.58,
ORD-0000472,C10931,2024-04-07 00:00:00,Kabelo,Khumalo,Johannesburg,Small Business,Online,SSD,1.0,3827.49,0.0,66.99,0.15,2873.1,Summer Sale,EFT,Completed,,4468.61,
ORD-0001124,C11734,2025-05-30 00:00:00,Fatima,Pillay,Bloemfontein,Corporate,Online,Router,1.0,716.9,0.08,164.95,0.0,558.16,None,Card,Completed,,824.5,
ORD-0003634,C11334,2024-10-19 00:00:00,Sipho,Mthembu,Pretoria,Consumer,Online,Router,2.0,2095.5,0.2,217.08,0.15,1769.43,Black Friday,Bank Transfer,Completed,,4072.81,
ORD-0004750,C12218,2024-07-06 00:00:00,Kabelo,Williams,Cape Town,Small Business,Online,Docking Station,3.0,2488.73,0.1,5.04,0.15,1791.69,None,Card,Completed,,7732.54,
ORD-0001711,C12681,11/12/2025,Priya,Nkosi,Polokwane,Corporate,Phone,Tablet,1.0,9063.07,0.05,146.32,0.15,5528.75,None,Card,Completed,,10047.72,
ORD-0005982,C11342,2025-07-11 00:00:00,Fatima,Pillay,Polokwane,Corporate,Marketplace,Mouse,1.0,1159.45,0.08,159.06,0.15,732.75,None,EFT,Completed,,1385.76,
ORD-0003727,C12138,2024-11-05 00:00:00,Priya,Nkosi,Johannesburg,Consumer,Store,Webcam,4.0,1808.37,0.08,79.34,0.15,1227.58,Back to School,Card,Cancelled,Rep B,7732.37,
ORD-0002869,C11270,2024-07-07 00:00:00,Ryan,Pillay,Bloemfontein,Consumer,Marketplace,Monitor,2.0,4297.63,0.15,168.02,0.15,3437.53,Summer Sale,Cash,Completed,,8569.88,
ORD-0005986,C10849,2025-11-14 00:00:00,Siyanda,Dlamini,Gqeberha,Small Business,Store,Docking Station,2.0,3823.36,0.03,192.05,0.15,2793.54,New Customer,Mobile Wallet,Completed,Rep C,8721.96,
ORD-0000324,C12172,2024-05-13 00:00:00,Kabelo,Patel,Gqeberha,Corporate,Online,Docking Station,2.0,1916.37,0.0,160.98,0.0,1210.28, none ,Mobile Wallet,Pending,,3993.72,
ORD-0003103,C12676,2024-02-25 00:00:00,Andile,Mokoena,Johannesburg,Small Business,Marketplace,Laptop,3.0,11668.13,0.08,144.9,0.15,9335.57,Payday Promo,Mobile Wallet,Completed,,37179.54,
ORD-0000411,C11464,2024-08-09 00:00:00,Ryan,Mthembu,Durban,Consumer,Marketplace,Tablet,1.0,6521.95,0.0,49.9,0.15,4341.07,Back to School,Card,Completed,,7550.14,
ORD-0003548,C11693,2024-06-10 00:00:00,Fatima,Pillay,Johannesburg,Consumer,Store,Mouse,6.0,547.99,0.05,50.98,0.0,465.62,None,Card,Pending,Rep E,3174.54,
ORD-0002761,C10574,2024-02-03 00:00:00,Siyanda,Mthembu,Johannesburg,Consumer,Phone,Headset,2.0,1717.21,0.05,198.14,0.15,1160.03,None,Card,Cancelled,,3950.23,
ORD-0000101,C11921,2024-11-10 00:00:00,Mpho,Pillay,Johannesburg,Consumer,Online,Monitor,3.0,1997.0,0.0,60.05,0.15,1555.41,None,Cash,Returned,,6949.68,
ORD-0005045,C12239,2025-01-13 00:00:00,Chloe,Molefe,Johannesburg,Small Business,Store,Keyboard,8.0,749.25,0.08,110.66,0.15,447.22,None,Card,Completed,Rep C,6452.33,
ORD-0000116,C10711,2025-04-14 00:00:00,Fatima,Williams,Polokwane,Consumer,Phone,Webcam,7.0,1440.37,0.1,1.55,0.15,952.02,Clearance,Mobile Wallet,Returned,,10437.06,
ORD-0001629,C12474,2024-07-04 00:00:00,Zanele,Naidoo,Johannesburg,Consumer,Store,SSD,1.0,,0.08,133.37,0.0,2655.27,Back to School,Card,Completed,Rep A,3093.77,
ORD-0000402,C11960,2024-11-06 00:00:00,Nomsa,Naidoo,Durban,Small Business,Online,Laptop,2.0,15351.62,0.08,64.0,0.15,9723.17,Back to School,Mobile Wallet,Completed,,32548.02,
ORD-0004703,C12289,2024-06-08 00:00:00,Sipho,Mokoena,Cape Town,Consumer,Marketplace,Printer,1.0,6323.1,0.05,114.05,0.0,3751.74,None,Card,Completed,,6120.99,
ORD-0002147,C12238,2024-11-30 00:00:00,Sipho,Dlamini,Johannesburg,Corporate,Phone,Webcam,1.0,954.72,0.05,198.14,0.15,783.25,None,Bank Transfer,Completed,,1241.16,
ORD-0003515,C10315,2025-07-07 00:00:00,Zanele,Mokoena,Gqeberha,Corporate,Online,Headset,3.0,1619.82,0.1,109.12,0.15,1191.11,None,Card,Completed,,5138.65,
ORD-0004993,C11804,2024-03-29 00:00:00,Fatima,Pillay,Johannesburg,Consumer,Online,Laptop,2.0,8902.06,0.0,143.55,0.15,7408.35,None,Bank Transfer,Completed,,20618.28,
ORD-0003997,C12607,2024-04-21 00:00:00,Jason,Patel,Johannesburg,Consumer,Marketplace,Laptop,3.0,18632.29,0.1,47.96,0.15,14043.75,None,Mobile Wallet,Completed,,57901.22,
ORD-0003189,C11386,2024-02-07 00:00:00,Andile,Dlamini,Benoni,Consumer,Online,Headset,4.0,1617.13,0.1,100.78,0.15,1079.53,None,Cash,Completed,,6795.7,
ORD-0005290,C11512,2024-08-14 00:00:00,Aisha,Botha,Johannesburg,Consumer,Marketplace,Mouse,2.0,981.56,0.1,91.93,0.15,772.12,None,Mobile Wallet,Returned,,2123.76,
ORD-0003549,C10599,2024-09-18 00:00:00,Mpho,Nkosi,Johannesburg,Small Business,Online,Laptop,1.0,10544.2,0.05,200.77,0.15,6387.96,,Card,Completed,,11720.31,
